Наименование услуги;Главное изображение;Длительность;Стоимость;Действующая скидка;Описание;Код
Наращивание ресниц;Услуги салона красоты\Ресницы.png;2400;1430;0,05;Лицо;1
Моделирование ресниц+тушь;Услуги салона красоты\Ресницы.png;2100;1390;0,1;Лицо;2
Ламинирование ресниц;Услуги салона красоты\Ресницы.png;3300;1740;0,25;Лицо;3
Русский спа массаж;Услуги салона красоты\массаж.jpg;3000;2540;0,2;Тело;4
Мезотерапия;Услуги салона красоты\Мезотерапия.jpg;2400;2040;0,2;Процедура;5
Полуперманентная тушь;Услуги салона красоты\Ресницы.png;1800;2340;0;Лицо;6
Экспресс SPA;Услуги салона красоты\Экспресс SPA.png;900;2420;0;Тело;7
Пирсинг;Услуги салона красоты\Прокол ушей пистолетом.png;3300;1330;0;Лицо;8
Массаж масляный;Услуги салона красоты\массаж.jpg;3000;1090;0;Тело;9
Прессотерапия;Услуги салона красоты\Прессотерапия.jpg;2400;2350;0;Тело;10
Европейский маникюр;Услуги салона красоты\Европейский маникюр.jpg;3600;1990;0,05;Руки;11
Удаление доброкачественных образований кожи;Услуги салона красоты\face.png;900;1910;0;Процедура;12
Испанский массаж;Услуги салона красоты\массаж.jpg;2400;2190;0,25;Тело;13
Наращивание ресниц кукольного эффекта;Услуги салона красоты\Ресницы.png;2100;2120;0;Лицо;14
Стрижка с покраской;Услуги салона красоты\стрижка.png;1500;2300;0,1;Волосы;15
Детокс спа;Услуги салона красоты\face.png;1800;1330;0;Процедура;16
Стоун-терапия;Услуги салона красоты\Стоун-терапия.jpg;3000;2100;0,25;Процедура;17
Радиоволновой лифтинг;Услуги салона красоты\face.png;3000;1590;0,15;Процедура;18
Химические завивки;Услуги салона красоты\стрижка.png;3000;1090;0,2;Волосы;19
Альгинатные маски;Услуги салона красоты\mask.jpeg;3300;2370;0;Лицо;20
Спортивный массаж;Услуги салона красоты\массаж.jpg;1800;1650;0,15;Процедура;21
Лечебное покрытие ногтей;Услуги салона красоты\ногти.png;1800;1220;0;Процедура;22
Реконструкция и лечение волос и кожи головы;Услуги салона красоты\face.png;3300;2360;0,15;Процедура;23
Классический маникюр;Услуги салона красоты\Классический маникюр.png;3300;1680;0,2;Руки;24
Консультация врача;Услуги салона красоты\122454.png;1800;2120;0;Процедура;25
Наращивание ресниц лисьего эффекта;Услуги салона красоты\Ресницы.png;1800;1370;0,25;Лицо;26
Экспресс-педикюр;Услуги салона красоты\Экспресс-педикюр.jpg;1200;2170;0,2;Процедура;27
Гречишный массаж;Услуги салона красоты\Гречишный массаж.jpg;2400;1520;0,15;Процедура;28
Комбинированный маникюр;Услуги салона красоты\Комбинированный маникюр.jpg;3600;2390;0;Руки;29
Фонофорез лица;Услуги салона красоты\face.png;1200;1120;0,05;Лицо;30
Перманентный макияж (татуаж);Услуги салона красоты\брови.png;2400;1270;0,25;Лицо;31
Химический пилинг;Услуги салона красоты\piling.jpg;1500;1880;0,15;Лицо;32
Плазмолифтинг;Услуги салона красоты\face.png;900;2450;0,2;Лицо;33
Криолифтинг;Услуги салона красоты\face.png;900;1090;0;Лицо;34
Гликолевый поверхностный базовый пилинг;Услуги салона красоты\piling.jpg;2100;2230;0,1;Лицо;35
Окрашивание ресниц;Услуги салона красоты\Ресницы.png;2100;1100;0;Лицо;36
Коррекция нарощенных ресниц;Услуги салона красоты\Ресницы.png;2700;1310;0,05;Лицо;37
Фракционное омоложение лазерной системой Palomar;Услуги салона красоты\face.png;2700;1140;0,05;Лицо;38
